Usuario,Comentario
westzaza,JAJAJA ElGamerMasNoob FrarR 
truenalamatraca,Ese si es presupuesto X 
andreayareni,TE AMOOO MUCHOOO 
nicol_3671,JAJAJAJAJAJA 
AgusZaZa6n,JAKSJKAJAJAJJ 
yams_xpr,JASKJASJKSJK 
baphemott,"vete alv, fui al bano y tomar agua y Ia sigue leyendo elulisesO_0= "
dafnec30,VALDO LEE LAS CARTAS DE ANDY 
zacrkiel_lyr12,Como que mas menos 
gomitas_Owoki,Que lindo manoooo 
westzaza,JAJAJAJA 
valesiiitay,JAJAJJAJAJAUAUAUUAS 
valencia_bngt,Ya saque merch 
nicol_3671,JAJAJA 
boronitaas,para Ia otra seran mil apa
